営業者氏名,施設名称,施設所在地,興行場の種別,許可番号,許可年月日,施設電話番号
大津市,大津市民会館,大津市島の関１４−１,多目的,0525,S51/04/30,077-525-1234
大津市,大津市和邇文化センター,大津市和邇高城１２,多目的,0961,S63/07/19,
大津市,大津市伝統芸能会館,大津市園城寺町２４６−２４,多目的,0493,H07/04/24,
ユナイテッド・シネマ株式会社,ユナイテッド・シネマ大津,大津市打出浜１４−３０　Ｏｈ！Ｍｅ大津テラス７・８階,映画館,1505,H08/11/01,077-527-6203
滋賀県,滋賀県立芸術劇場びわ湖ホール,大津市打出浜１５−１,演劇,0386,H10/03/23,077-523-7133
滋賀県,滋賀県立県民交流センター,大津市におの浜一丁目１−２０,多目的,0201,H11/03/04,077-527-3311
滋賀県,びわこモーターボート競走場,大津市茶が崎１−１,観せ物,0437,H14/04/26,077-522-1122
公益財団法人大津市公園緑地協会,大津市皇子山総合運動公園野球場,大津市御陵町４−１,スポーツ,0810,H18/08/01,077-522-8015
公益財団法人滋賀県体育協会,滋賀県立体育館,大津市におの浜四丁目２−１２,多目的,0225,H22/07/28,077-524-0221
公益財団法人滋賀県スポーツ協会,滋賀県立アイスアリーナ,大津市瀬田大江町１７−３,スポーツ,0157,H30/05/15,077-547-5566
しがクロス株式会社,滋賀アリーナ,大津市上田上中野町７７９,スポーツ,0035,R04/11/07,
