"区市町村","訪問系サービス／サービス量(時間)／合計","訪問系サービス／サービス量(時間)／（居宅介護）","訪問系サービス／サービス量(時間)／（重度訪問）","訪問系サービス／サービス量(時間)／(同行援護）","訪問系サービス／サービス量(時間)／（行動援護）","訪問系サービス／利用者数(人)／合計","訪問系サービス／利用者数(人)／（居宅介護）","訪問系サービス／利用者数(人)／（重度訪問）","訪問系サービス／利用者数(人)／(同行援護","訪問系サービス／利用者数(人)／（行動援護）","訪問系サービス／１人当たり月間サービス量（時間／人）／合計","訪問系サービス／１人当たり月間サービス量（時間／人）／（居宅介護）","訪問系サービス／１人当たり月間サービス量（時間／人）／（重度訪問）","訪問系サービス／１人当たり月間サービス量（時間／人）／(同行援護","訪問系サービス／１人当たり月間サービス量（時間／人）／（行動援護）"
"千代田区","6037","1022","4573","294","148","87","59","10","12","6","69.4","17.3","457.3","24.5","24.7"
"中央区","5610","3919","1031","620","40","196","165","6","24","1","28.6","23.8","171.8","25.8","40.0"
"港区","20093","10593","8111","1226","163","457","383","34","37","3","44.0","27.7","238.6","33.1","54.3"
"新宿区","27645","12221","12689","2654","81","688","542","36","108","2","40.2","22.5","352.5","24.6","40.5"
"文京区","8444","2242","4213","1959","30","278","195","20","62","1","30.4","11.5","210.7","31.6","30.0"
"台東区","10102","1884","7383","835","","213","141","26","46","","47.4","13.4","284.0","18.2",""
"墨田区","9937","5612","1483","2842","","487","373","11","103","","20.4","15.0","134.8","27.6",""
"江東区","20219","8285","8372","3532","30","801","586","66","148","1","25.2","14.1","126.8","23.9","30.0"
"品川区","9588","1801","6023","1764","","261","142","48","71","","36.7","12.7","125.5","24.8",""
"目黒区","11724","5690","5483","501","50","282","226","21","34","1","41.6","25.2","261.1","14.7","50.0"
"大田区","34335","13158","15673","5351","153","774","572","41","157","4","44.4","23.0","382.3","34.1","38.3"
"世田谷区","70350","21325","46305","2520","200","1130","873","123","129","5","62.3","24.4","376.5","19.5","40.0"
"渋谷区","5671","1928","2950","773","20","214","154","18","41","1","26.5","12.5","163.9","18.9","20.0"
"中野区","23527","6169","14598","2636","124","557","421","53","79","4","42.2","14.7","275.4","33.4","31.0"
"杉並区","20071","5723","11580","2343","425","531","363","36","123","9","37.8","15.8","321.7","19.0","47.2"
"豊島区","10197","2341","6009","1847","","250","158","24","68","","40.8","14.8","250.4","27.2",""
"北区","30097","9177","15096","5298","526","747","517","43","170","17","40.3","17.8","351.1","31.2","30.9"
"荒川区","14849","6223","6415","2211","","435","341","27","67","","34.1","18.2","237.6","33.0",""
"板橋区","34751","14283","16153","4305","10","1113","900","54","158","1","31.2","15.9","299.1","27.2","10.0"
"練馬区","57687","17063","32860","7616","148","1158","863","88","203","4","49.8","19.8","373.4","37.5","37.0"
"足立区","50292","17695","21715","7849","3033","1426","961","97","260","108","35.3","18.4","223.9","30.2","28.1"
"葛飾区","18554","14045","1629","2808","72","705","548","9","144","4","26.3","25.6","181.0","19.5","18.0"
"江戸川区","31536","13983","12332","4603","618","1270","1049","41","171","9","24.8","13.3","300.8","26.9","68.7"
"八王子市","45466","7360","35318","2603","185","761","463","159","132","7","59.7","15.9","222.1","19.7","26.4"
"立川市","28417","3872","21677","1747","1121","437","268","77","58","34","65.0","14.4","281.5","30.1","33.0"
"武蔵野市","12051","1723","8806","1414","108","225","142","22","57","4","53.6","12.1","400.3","24.8","27.0"
"三鷹市","10636","2735","6707","669","525","226","157","20","31","18","47.1","17.4","335.4","21.6","29.2"
"青梅市","2755","1192","879","461","223","165","95","9","41","20","16.7","12.5","97.7","11.2","11.2"
"府中市","37266","6557","29601","896","212","506","381","64","51","10","73.6","17.2","462.5","17.6","21.2"
"昭島市","6657","1906","3510","967","274","241","162","21","39","19","27.6","11.8","167.1","24.8","14.4"
"調布市","15530","1644","12329","837","720","325","199","47","35","44","47.8","8.3","262.3","23.9","16.4"
"町田市","38712","7638","27976","2934","164","675","436","119","114","6","57.4","17.5","235.1","25.7","27.3"
"小金井市","4888","1543","2840","481","24","159","126","8","22","3","30.7","12.2","355.0","21.9","8.0"
"小平市","12045","2703","7602","740","1000","271","147","22","36","66","44.4","18.4","345.5","20.6","15.2"
"日野市","9286","998","7060","1188","40","194","93","37","57","7","47.9","10.7","190.8","20.8","5.7"
"東村山市","14691","2394","11777","350","170","322","204","76","31","11","45.6","11.7","155.0","11.3","15.5"
"国分寺市","7963","1264","5984","568","147","166","114","24","21","7","48.0","11.1","249.3","27.0","21.0"
"国立市","20174","3201","14278","264","2431","279","148","53","19","59","72.3","21.6","269.4","13.9","41.2"
"福生市","2804","1852","531","418","3","114","93","3","17","1","24.6","19.9","177.0","24.6","3.0"
"狛江市","3615","1357","1995","263","","144","119","10","15","","25.1","11.4","199.5","17.5",""
"東大和市","4991","1253","3231","496","11","135","101","10","22","2","37.0","12.4","323.1","22.5","5.5"
"清瀬市","8182","1088","6590","389","115","145","83","27","24","11","56.4","13.1","244.1","16.2","10.5"
"東久留米市","9486","941","7472","401","672","140","71","22","24","23","67.8","13.3","339.6","16.7","29.2"
"武蔵村山市","4119","1612","1955","536","16","159","131","10","15","3","25.9","12.3","195.5","35.7","5.3"
"多摩市","17649","2985","13412","956","296","268","192","33","38","5","65.9","15.5","406.4","25.2","59.2"
"稲城市","2060","506","1112","138","304","83","55","10","12","6","24.8","9.2","111.2","11.5","50.7"
"羽村市","1409","1047","142","151","69","79","62","1","13","3","17.8","16.9","142.0","11.6","23.0"
"あきる野市","2199","703","1074","243","179","104","73","5","18","8","21.1","9.6","214.8","13.5","22.4"
"西東京市","10987","1105","9030","636","216","136","74","26","27","9","80.8","14.9","347.3","23.6","24.0"
"瑞穂町","1167","986","","173","8","71","63","","6","2","16.4","15.7","","28.8","4.0"
"日の出町","918","229","605","79","5","26","18","4","3","1","35.3","12.7","151.3","26.3","5.0"
"檜原村","124","4","114","6","","3","1","1","1","","41.3","4.0","114.0","6.0",""
"奥多摩町","","","","","","","","","","","","","","",""
"大島町","","","","","","","","","","","","","","",""
"利島村","","","","","","","","","","","","","","",""
"新島村","","","","","","","","","","","","","","",""
"神津島村","","","","","","","","","","","","","","",""
"三宅村","","","","","","","","","","","","","","",""
"御蔵島村","","","","","","","","","","","","","","",""
"八丈町","170","146","","13","11","20","14","","3","3","8.5","10.4","","4.3","3.7"
"青ヶ島村","","","","","","","","","","","","","","",""
"小笠原村","","","","","","","","","","","","","","",""
"合計","867733","258926","506283","87404","15120","20639","14817","1852","3397","573","42.0","17.5","273.4","25.7","26.4"
